"ИД";"ПОРЯДОК";"АББРЕВИАТУРА";"НАИМЕНОВАНИЕ";"ЕДИНИЦА_ИЗМЕРЕНИЯ";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ"
100;0;"1";Председатель ГАК;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
101;0;"0.5";Член ГАК;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
102;0;"2";Конс. дипломника по эконом. части;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
103;0;"2";Конс. дипломника по технол. части;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
104;0;"3";Конс. выпускающей кафедры;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
105;0;"50";Руководство дипломником;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
106;0;"4";Рецензирование диплома;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
107;0;"2";Конс. дипломника по охране труда;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
108;0;"50";Руководство аспирантом;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
109;0;"100";Руководство  иностранным аспирантом;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
110;0;"25";Руководство соискателем;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
111;0;"5";Конс.выпускающей кафедры ( без ТПС );;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
112;0;"3";Рецензирование аспиранского реферата;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
113;0;"2";Индивидуальные консультации аспирантов;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
114;0;"3";Вступительные (кандидатские) экзамен;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
115;0;"4";Групповые консультации аспир. по философ;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
117;0;"50";Лекции по философии потоку ;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
118;0;"60";Семинары по философии с группой 15 аспир;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
120;0;"140";Занятия по инязыку с группой 5 аспирант.;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
121;0;"0.5";Член экзаменационной ГАК;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
122;0;"0.5";Член ГАК;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
123;0;"25";Руководство вып.раб.бакалавра;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
125;0;"54";Руководство вып.раб.магистра;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
126;0;"3";Вступительные экзамены;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
127;0;"3";Кандидатский минимум;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
1;2;Лек;Лекции;час;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
2;4;Лаб;Лабораторные занятия;час;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
3;6;Прак;Практические занятия;час;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
4;8;СРС;Самостоятельная работа студента;час;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
5;9;Экз;Экзамен;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
6;10;Зач;Зачет;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
7;11;КР;Курсовая работа;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
8;12;КП;Курсовой проект;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
0;13;Нет;Отсутствие контроля;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
13;0;Ауд/н;Аудиторных занятий в неделю;час;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
12;7;СРС/н;Самостоятельной работы студента в неделю;час;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
11;5;Прак/н;Практических занятий в неделю;час;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
10;3;Лаб/н;Лабораторных занятий в неделю;час;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
9;1;Лек/н;Лекций в неделю;час;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
14;14;Тест;Тестирование;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
18;18;Рег.олим;Региональная олимпиада;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
17;17;ЕГЭ;ЕГЭ;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
16;16;Олимп.;Олимпиада;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
15;15;Экзамен;Вступительный экзамен;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
19;19;Шк.экзам;Школьный экзамен;;ISU_UCHEB;2011-11-08 15:55:55.000;ISU_UCHEB;2011-11-08 15:55:55.000
