"ИД";"КОРОТКОЕ_ИМЯ";"НАИМЕНОВАНИЕ";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ"
974;Сред.обраб.сигн.;Средства обработки сигналов;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
30;Педагог.практика;Педагогическая практика;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
976;Стад.пром.раз.ПО;Стандарты промышл.разработки ПО;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
981;Статистика;Статистика;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
984;Структуры данных;Структуры данных;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
987;СУБД;Системы управления базами данных;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
988;Суперкомп.технол;Суперкомпьютерные технологии;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
990;Схемотехника;Схемотехника;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
991;Схемотехника ЭВМ;Схемотехника ЭВМ;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
996;ТАУ;Теория автоматического управления;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
1000;Телеком.орг.сети;Телекоммуникации и организация сетей;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
1001;Телеком.протокол;Телекоммуникационные протоколы;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
1003;Теор. алгор.и ав;Теория алгоритмов и автоматов;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
1004;Теор. баз данных;Теория баз данных;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
1008;Теор.вер._мат.ст;Теория вероятностей и математическая статистика;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
1014;Руковод.дипломн.;Руководство преддипломной практикой и дипломным проектированием;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
1017;Конфликтология;Конфликтология;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
1133;Станд.клас.програм.;Стандартные классы в программировании;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
1134;Функцион.анализ;Функциональный анализ;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
705;Эл.дисц. Е-Н Ц;Элективная дисциплина естественно-научного цикла;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
706;Эл.дисц.по экон.;Элективные дисциплины по экономике;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
723;Электроника;Электроника;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
726;Электронные табл;Электронные таблицы;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
736;Яз.програм.мет.т;Языки программирования и методы трансляции;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
737;Язык ассемблера;Язык ассемблера;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
738;Язык С++;Язык С++;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
739;Языки программир;Языки программирования;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
740;Языковые процесс;Языковые процессоры;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
742;ЯСФО;Языки структурно-функционального описания(ЯСФО);ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
745;Теор.информатика;Теоретическая информатика;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
746;Теор.информации;Теория информации;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
748;Теор.колебаний;Теория колебаний;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
759;Теор.форм.грам.а;Теория формальных грамматик и автоматов;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
760;Теор.цифр.автом.;Теория цифровых автоматов;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
767;Теория автоматов;Теория автоматов;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
788;Тех.средст.ПЭВМ;Технические средства ПЭВМ;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
1135;Теор.автом.програм;Теория автоматов и программирование;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
885;САПР;Системы автоматизированного проектирования;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
888;САПР СВТ;САПР СВТ;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
891;САПР ЭВМ;САПР ЭВМ;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
898;Сетев.опер.систе;Сетевые операционные системы;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
899;Сетевые архитект;Сетевые архитектуры;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
900;Сети ЭВМ;Сети ЭВМ;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
901;Сети ЭВМ и ср.ТК;Сети ЭВМ и средства телекоммуникаций;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
903;Синергетика;Синергетика;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
908;Сис.обраб.сигнал;Системы обработки сигналов;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
911;Сис.прогр.UNIX;Системное программное обеспечение ( UNIX );ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
917;Сист.мультимедиа;Системы мультимедиа;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
918;Сист.прогр.обесп;Системное программное обеспечение;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
919;Сист.реальн.врем;Системы реального времени;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
920;Системы в/в ЭВМ;Системы ввода-вывода ЭВМ;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
923;Совр.проб.Инф.ВТ;Современные проблемы информатики и вычислительной техники;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
933;Социология;Социология;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
935;СП Internet прил;Системы программирования Internet - приложений;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
950;Спец.раз.ВиВ мат;Специальные разделы высшей и вычислительной математики;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
954;Спец.разд.матем.;Специальные разделы математики;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
958;Спец.семинары;Специальные семинары;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
969;Спецпроцессоры;Спецпроцессоры;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
