"ИД";"УРОВЕНЬ";"ДАТА_ГОС";"КВАЛ_ИД";"НС_ИД";"ТС_ИД";"НАПС_ИД";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ";"ПРИМЕЧАНИЕ"
3610;3;2010-05-01 00:00:00.000;3;730;3;3608;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3613;0;1999-09-09 00:00:00.000;26;317;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3614;3;2010-05-01 00:00:00.000;3;316;3;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3615;3;2010-05-01 00:00:00.000;3;735;3;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3616;0;1999-09-09 00:00:00.000;26;734;9;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3618;2;2010-05-01 00:00:00.000;2;741;2;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3619;2;2010-05-01 00:00:00.000;2;735;2;3613;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3620;3;2010-05-01 00:00:00.000;3;744;6;3614;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3621;3;2010-05-01 00:00:00.000;3;743;6;3614;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3622;3;2010-05-01 00:00:00.000;3;801;6;3614;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3623;3;2010-05-01 00:00:00.000;3;800;6;3614;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3624;3;2010-05-01 00:00:00.000;3;742;6;3614;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
3625;3;2010-05-01 00:00:00.000;3;745;6;3666;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;
