"ИД";"КОРОТКОЕ_ИМЯ";"ИМЯ_В_ИМИН_ПАДЕЖЕ";"ИМЯ_В_РОД_ПАДЕЖЕ";"ИМЯ_В_ДАТ_ПАДЕЖЕ";"ИМЯ_В_ВИН_ПАДЕЖЕ";"ИМЯ_В_ТВОР_ПАДЕЖЕ";"ИМЯ_В_ПРЕД_ПАДЕЖЕ";"ОТД_ИД";"ДАТА_СОЗДАНИЯ";"ДАТА_ЛИКВИДАЦИИ";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ"
211;ТТОЭ;кафедра твердотельной оптоэлектроники;кафедры твердотельной оптоэлектроники;кафедре твердотельной оптоэлектроники;кафедру твердотельной оптоэлектроники;кафедрой твердотельной оптоэлектроники;кафедре твердотельной оптоэлектроники;702;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
212;КТ;кафедра компьютерных технологий;кафедры компьютерных технологий;кафедре компьютерных технологий;кафедру компьютерных технологий;кафедрой компьютерных технологий;кафедре компьютерных технологий;717;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
302;ФВиВ;кафедра физического воспитания и валеологии;кафедры физического воспитания и валеологии;кафедре физического воспитания и валеологии;кафедру физического воспитания и валеологии;кафедрой физического воспитания и валеологии;кафедре физического воспитания и валеологии;706;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
405;"1_отдел";"1 отдел";"1 отдела";"1 отделу";"1 отдел";"1 отделом";"1 отделе";777;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
416;АУП_НИЧ;НИЧ;НИЧ;НИЧ;НИЧ;НИЧ;НИЧ;730;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
740;НПГ;НПГ;НПГ;НПГ;НПГ;НПГ;НПГ;777;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
820;Конт;средства за платное обучение иностранных граждан и граждан снг;средств за платное обучение иностранных граждан и граждан снг;средствам за платное обучение иностранных граждан и граждан снг;средства за платное обучение иностранных граждан и граждан снг;средствами за платное обучение иностранных гражданом и гражданом снг;средствах за платное обучение иностранных граждане и граждане снг;777;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
777;СПбГУИТМО;"Санкт-Петербургский государственный университет информационных технологий, механики и оптики
";"Санкт-Петербургского государственного университета информационных технологий, механики и оптики
";"Санкт-Петербургскому государственному университету информационных технологий, механики и оптики
";"Санкт-Петербургский государственный университет информационных технологий, механики и оптики
";"Санкт-Петербургским государственным университетом информационных технологий, механики и оптики
";"Санкт-Петербургским государственном университете информационных технологий, механики и оптики
";;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
701;ОИСТ;факультет оптико-информационных систем и технологий;факультета оптико-информационных систем и технологий;факультету оптико-информационных систем и технологий;факультет оптико-информационных систем и технологий;факультетом оптико-информационных систем и технологий;факультете оптико-информационных систем и технологий;777;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
702;ИФ;факультет инженерно-физический; инженерно-физического  факультета; инженерно-физическому факультету;инженерно-физический факультет;инженерно-физическим факультетом;инженерно-физическом факультете;777;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
