"ИД";"ТПЛ_ИД";"УЧЕБНЫЙ_ГОД";"ОТД_ИД";"ОТД_ИД_ЗАКРЕПЛЕН_ЗА";"НАПС_ИД";"КУРС";"ФО_ИД";"СРОК_ОБУЧЕНИЯ";"ДАТА_УТВЕРЖДЕНИЯ";"ПЛАН_ПРИЕМА_ПРОЧИЙ";"ПЛАН_ИД";"ПЛАН_ИД_ОСНОВ_НА";"ПЛАН_ПРИЕМА_БЮДЖЕТ";"ПРОХОДНОЙ_БАЛЛ";"ПОЛУПРОХОДНОЙ_БАЛЛ";"СПЕЦИАЛЬНЫЙ_ПРОХОДНОЙ_БАЛЛ";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ";"ПРИМЕЧАНИЕ";"НОМЕР"
6975;3;"2010/2011";703;102;3258;6;1;;2010-03-01 00:00:00.000;;5621;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6976;3;"2010/2011";703;102;3499;6;1;;2010-03-01 00:00:00.000;;6147;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6977;3;"2010/2011";703;102;3251;6;1;;2010-03-01 00:00:00.000;;5610;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6979;3;"2010/2011";703;102;3499;5;1;;2010-03-01 00:00:00.000;;;;8;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;План магистров первого года обучения;1
6980;3;"2010/2011";703;102;3500;6;1;;2010-03-01 00:00:00.000;;6150;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6981;3;"2010/2011";703;102;3500;5;1;;2010-03-01 00:00:00.000;;;;7;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;План магистров первого года обучения;1
6982;3;"2010/2011";703;102;3250;6;1;;2010-03-01 00:00:00.000;;5612;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6134;3;"2009/2010";703;102;3258;6;1;;2009-03-01 00:00:00.000;;4698;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6135;3;"2008/2009";703;102;3499;6;1;;2008-03-01 00:00:00.000;;;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6136;3;"2009/2010";703;102;3499;6;1;;2009-03-01 00:00:00.000;;5548;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6152;3;"2009/2010";703;102;3251;6;1;;2009-03-01 00:00:00.000;;4695;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6146;3;"2009/2010";703;102;3249;6;1;;2009-03-01 00:00:00.000;;4694;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6147;3;"2009/2010";703;102;3499;5;1;;2009-03-01 00:00:00.000;;;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;План магистров первого года обучения;1
6151;3;"2009/2010";703;102;3500;6;1;;2009-03-01 00:00:00.000;;5549;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
6150;3;"2009/2010";703;102;3500;5;1;;2009-03-01 00:00:00.000;;;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;План магистров первого года обучения;1
6153;3;"2009/2010";703;102;3250;6;1;;2009-03-01 00:00:00.000;;4693;;;;;;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000;;1
