"ИД";"СЭС_ИД";"ЧЛВК_ИД";"ДАТА";"ВРЕМЯ";"АУДИТОРИЯ";"ДАТА_К";"ВРЕМЯ_К";"АУДИТОРИЯ_К";"УЧГОД";"ГРУППА";"СЕМЕСТР";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ"
1975;101261;;2004-06-14 00:00:00.000;;;;;;"2003/2004";1101;0;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000
1976;101269;101899;2004-06-19 00:00:00.000;2004-05-01 10:00:00.000;"285";2004-06-17 00:00:00.000;2004-05-01 15:00:00.000;"285";"2003/2004";1101;0;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000
1977;101253;100622;2004-06-24 00:00:00.000;2004-05-01 09:00:00.000;"302";2004-06-23 00:00:00.000;2004-05-01 14:00:00.000;"322";"2003/2004";1101;0;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000
1978;101282;100657;2004-06-10 00:00:00.000;2004-05-01 09:00:00.000;"285";2004-06-08 00:00:00.000;2004-05-01 14:00:00.000;"285";"2003/2004";1102;0;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000
1979;101261;;2004-06-14 00:00:00.000;;;;;;"2003/2004";1102;0;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000
1980;101269;101899;2004-06-20 00:00:00.000;2004-05-01 10:00:00.000;"285";2004-06-19 00:00:00.000;2004-05-01 15:00:00.000;"285";"2003/2004";1102;0;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000
1981;101253;100622;2004-06-25 00:00:00.000;2004-05-01 09:00:00.000;"302";2004-06-24 00:00:00.000;2004-05-01 14:00:00.000;"236";"2003/2004";1102;0;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000
1982;101282;100657;2004-06-10 00:00:00.000;2004-05-01 09:00:00.000;"285";2004-06-08 00:00:00.000;2004-05-01 14:00:00.000;"285";"2003/2004";1103;0;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000
1983;101261;;2004-06-14 00:00:00.000;;;;;;"2003/2004";1103;0;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000
1984;101269;101899;2004-06-20 00:00:00.000;2004-05-01 10:00:00.000;"285";2004-06-19 00:00:00.000;2004-05-01 15:00:00.000;"285";"2003/2004";1103;0;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000
