"ИД";"ВР_ИД";"ОБЪЕМ";"НОМЕР_КОНТРОЛЯ";"ЭСТ_ИД";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ"
64666;3;36.00;;17782;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64667;4;40.00;;17782;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64668;5;;1;17782;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64669;1;18.00;;17783;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64670;2;36.00;;17783;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64671;4;27.00;;17783;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64672;6;;1;17783;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64673;1;36.00;;17784;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64674;2;36.00;;17784;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64675;4;54.00;;17784;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64676;5;;1;17784;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64677;1;54.00;;17785;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64678;2;36.00;;17785;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64679;4;54.00;;17785;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
64680;5;;1;17785;ISU_UCHEB;2011-11-08 00:00:00.000;ISU_UCHEB;2011-11-08 00:00:00.000
