"ИД";"КОМ_ИД";"ЦД_ИД";"НОМЕР_В_ЦИКЛЕ";"ДИС_ИД";"НОМЕР_ДИСЦИПЛИНЫ_ПО_ВЫБОРУ";"ПЛАН_ИД";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ"
40812;6;5;"01";598;;3716;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40813;3;1;"02";40;;3716;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40814;1;4;"05.01";1182;;3716;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40815;3;1;"03";681;;3716;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40816;1;10;"01";52;;3716;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40817;3;1;"01";453;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40818;1;1;"02";862;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40819;1;3;"02";497;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40820;1;3;"05";198;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40821;1;3;"07";248;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40822;1;3;"12";362;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40823;3;3;"01";987;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40824;1;4;"03";991;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40825;1;4;"06";1281;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40826;2;4;"07";140;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40827;1;4;"08";803;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40828;2;4;"01";331;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40829;1;2;"01.08";1283;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40830;5;5;"01";598;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40831;2;3;"02";438;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40832;6;10;"01";52;;3717;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40833;1;1;"02";862;;3718;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40834;3;1;"01";453;;3718;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40835;1;3;"02";497;;3718;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40836;1;3;"05";198;;3718;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40837;1;3;"07";248;;3718;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40930;6;8;"01";139;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40931;1;7;"02";1757;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40932;2;7;"03";745;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40933;3;7;"03";814;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40934;2;7;"04";519;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40935;6;10;"07";128;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40936;6;10;"06";135;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40937;1;6;"01";923;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40938;3;6;"02.02";1758;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40939;6;10;"05";629;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40940;6;10;"04";619;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40941;6;10;"02";618;;3725;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40942;6;8;"01";139;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40943;1;7;"02";1757;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40944;2;7;"03";745;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40945;3;7;"03";1529;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40946;2;7;"04";1614;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40947;6;10;"07";128;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40948;6;10;"06";135;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40949;1;6;"01";923;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40950;3;6;"02.02";425;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40951;6;10;"08";627;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40952;6;10;"05";629;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40953;6;10;"04";619;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40954;6;10;"02";618;;3726;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40955;1;7;"02";1757;;3727;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40956;2;7;"03";745;;3727;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
40957;3;7;"03";1528;;3727;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9704;2;3;"9704";803;;774;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9488;2;11;"9488";885;;873;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9489;1;1;"9489";933;;873;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9490;2;11;"9490";969;;873;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9491;1;3;"9491";996;;873;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9492;2;3;"9492";803;;873;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9493;1;1;"9493";862;;873;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9428;1;2;"01.05";607;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9429;1;2;"01.03";643;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9430;1;1;"01";425;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9431;1;1;"05";523;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9432;1;2;"01.04";292;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9433;1;2;"01.02";299;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9434;2;4;"04";157;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9435;2;1;"01";933;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9436;2;4;"03";990;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9437;1;2;"01.06";1008;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9438;3;2;"01.01";746;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9439;1;2;"03";857;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9440;1;1;"02";862;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9441;1;2;"04";678;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9442;1;1;"06";690;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9443;1;3;"02";702;;870;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9461;2;11;"9461";545;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9462;2;11;"9462";560;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9463;1;3;"9463";576;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9464;5;12;"9464";598;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9465;2;4;"9465";438;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9466;3;1;"9466";453;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9467;2;11;"9467";496;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9468;1;3;"9468";497;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9469;2;1;"9469";314;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9470;1;1;"9470";40;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9471;1;11;"9471";109;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9472;2;11;"9472";987;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9473;1;1;"9473";933;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9474;1;3;"9474";996;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9475;2;3;"9475";803;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9476;1;1;"9476";862;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9477;3;1;"9477";865;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
9478;1;2;"9478";678;;872;ISU_UCHEB;2011-11-08 15:55:54.000;ISU_UCHEB;2011-11-08 15:55:54.000
