"ИД";"ЧЛВК_ИД";"ПРИЗНАК";"СОСТОЯНИЕ";"НАЧАЛО";"КОНЕЦ";"ПЛАН_ИД";"ГРУППА";"П_ПРКОК_ИД";"ВИД_ОБУЧ_ИД";"ПРИМЕЧАНИЕ";"КТО_СОЗДАЛ";"КОГДА_СОЗДАЛ";"КТО_ИЗМЕНИЛ";"КОГДА_ИЗМЕНИЛ";"КОНЕЦ_ПО_ПРИКАЗУ";"ВМЕСТО";"В_СВЯЗИ_С";"ТЕКСТ"
47234;118705;повтор;утвержден;2003-04-15 00:00:00.000;2003-08-31 00:00:00.000;1428;"451";162417;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2003-08-31 00:00:00.000;;47389;
47128;117938;обучен;утвержден;2003-09-01 00:00:00.000;2004-08-31 00:00:00.000;1657;"5103";169402;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;66606;
47145;118675;обучен;утвержден;2003-09-01 00:00:00.000;2004-08-31 00:00:00.000;1643;"5121";169403;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;66652;
47146;116438;обучен;утвержден;2003-09-01 00:00:00.000;2004-08-31 00:00:00.000;1643;"5120";169403;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;66642;
47147;118663;обучен;утвержден;2003-09-01 00:00:00.000;2004-08-31 00:00:00.000;1643;"5120";169403;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;66643;
47148;118678;обучен;утвержден;2003-09-01 00:00:00.000;2004-08-31 00:00:00.000;1643;"5121";169403;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;66656;
47149;118072;обучен;утвержден;2003-09-01 00:00:00.000;2004-08-31 00:00:00.000;1643;"5121";169403;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;66661;
47150;118718;обучен;утвержден;2003-09-01 00:00:00.000;2004-08-31 00:00:00.000;1643;"5120";169403;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-08-31 00:00:00.000;;66647;
47275;125662;академ;утвержден;2003-06-01 00:00:00.000;2003-08-31 00:00:00.000;1427;"152";165661;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2003-08-31 00:00:00.000;;47409;
47276;125683;академ;утвержден;2003-07-01 00:00:00.000;2004-01-31 00:00:00.000;1427;"153";168661;1;;ISU_UCHEB;2011-11-08 15:55:53.000;ISU_UCHEB;2011-11-08 15:55:53.000;2004-01-31 00:00:00.000;;58364;
